Nell Nelson	poss	mythroat, ears, and nostrils	01	throat	noun
Nell Nelson	poss	mythroat, ears, and nostrils	01	ears	noun
Nell Nelson	poss	mythroat, ears, and nostrils	01	nostrils	noun
Nell Nelson	poss	mychair	01	chair	noun
Nell Nelson	poss	mybasket	01	basket	noun
Nell Nelson	poss	myname	01	name	noun
Nell Nelson	poss	mycredit	01	credit	noun
Nell Nelson	poss	mytable	01	table	noun
Nell Nelson	poss	myinterests	01	interests	noun
Nell Nelson	poss	mymentor	01	Nell Nelson	refNoun
Nell Nelson	poss	mybutton-holes	01	button-holes	noun
Nell Nelson	poss	mytable	01	table	noun
Nell Nelson	poss	mybutton-holes	01	button-holes	noun
Nell Nelson	poss	mycheck	01	check	noun
Nell Nelson	poss	mycorner	01	corner	noun
Nell Nelson	poss	myveil	01	veil	noun
Nell Nelson	poss	her own sex	01	Nell Nelson	refNoun
Nell Nelson	poss	herstatements	01	statements	noun
Nell Nelson	poss	herexperience	21	experience	noun
Nell Nelson	poss	mychair	14	chair	noun
Nell Nelson	poss	myhands	14	hands	noun
Nell Nelson	poss	myawkwardness	14	awkwardness	noun
Nell Nelson	poss	myfailure	14	failure	noun
Nell Nelson	poss	myhands	14	hands	noun
Nell Nelson	poss	mypresence	14	presence	noun
Nell Nelson	poss	my jersey collar	14	collar	noun
Nell Nelson	poss	mylips	14	lips	noun
Nell Nelson	poss	myknees	14	knees	noun
Nell Nelson	poss	mysafety	14	safety	noun
Nell Nelson	poss	mybreathing	14	breathing	noun
Nell Nelson	poss	myhat	14	hat	noun
Nell Nelson	poss	myknowledge	14	knowledge	noun
Nell Nelson	poss	myleft	14	Nell Nelson	refNoun
Nell Nelson	poss	mymachine-table	14	machine-table	noun
Nell Nelson	poss	my worst enemy	14	enemy	noun
Nell Nelson	poss	mycloak	14	cloak	noun
Nell Nelson	poss	myhead	14	head	noun
Nell Nelson	poss	myankles	14	ankles	noun
Nell Nelson	poss	myfeet	14	feet	noun
Nell Nelson	poss	mydime	14	dime	noun
Nell Nelson	poss	myheart	14	heart	noun
Nell Nelson	poss	myfarewell appearance	11	farewell appearance	noun
Nell Nelson	poss	myface	11	face	noun
Nell Nelson	poss	myNo. 33	11	No. 33	noun
Nell Nelson	poss	myneighbor	11	Nell Nelson	dirNoun
Nell Nelson	poss	myknowledge	11	knowledge	noun
Nell Nelson	poss	myripping	11	ripping	noun
Nell Nelson	poss	my first pair of factory trousers	11	pair	noun
Prominent Man	poss	hissermon	05	sermon	noun
Prominent Man	poss	doctor'scard	04	card	noun
Prominent Man	poss	hisStatestreetoffice	04	office	noun
Prominent Man	poss	hisassistants	03	assistants	noun
Prominent Man	poss	theirsubordinates	14	Prominent Man	refNoun
Prominent Woman	poss	her warm palm	14	palm	noun
Prominent Woman	poss	herinspection	14	inspection	noun
Prominent Woman	poss	hershare of mission-work	14	share	noun
Reporter	poss	myvisit	21	visit	noun
S. Nelson's Custom Shop	poss	S. NelsonS. N'sbuilding	21	building	noun
The Benefactor	poss	hiscourtesy	04	courtesy	noun
The Benefactor	poss	hiscard	04	card	noun
The Benefactor	poss	hislefteye	04	eye	noun
The Benefactor	poss	hislight-graysuit	04	suit	noun
The Benefactor	poss	hisremark	04	remark	noun
The Benefactor	poss	yourpardon	04	pardon	noun
The Benefactor	poss	hiswaistband	04	waistband	noun
The Benefactor	poss	yourmoney	04	money	noun
The Benefactor	poss	yourcard	04	card	noun
The Benefactor	poss	yourcard	04	card	noun
The Benefactor	poss	mydear	04	dear	noun
The Benefactor	poss	mydear	04	dear	noun
The Benefactor	poss	hisstock	04	stock	noun
The Benefactor	poss	hislefthand	04	hand	noun
The Benefactor	poss	hisright	04	right	noun
The Benefactor	poss	hiscoat	04	coat	noun
The Benefactor	poss	histrousers	04	trousers	noun
The Benefactor	poss	hisshoes	04	shoes	noun
W.D. Brothers' Cravat Department	poss	W.D Brothers' cravat department	06	department	noun
Western Lace Manufacturing Company	poss	our antique crochet cotton	01	cotton	noun
Western Lace Manufacturing Company	poss	ourwork	01	work	noun
Western Lace Manufacturing Company	poss	ourwork	01	work	noun
Western Lace Manufacturing Company	poss	ourbooks	01	books	noun
Western Lace Manufacturing Company	poss	ourorder	01	order	noun
Western Lace Manufacturing Company	poss	ourmaterial	01	material	noun
Western Lace Manufacturing Company	poss	-->Western Lace Manufacturing company'sdozen	01	dozen	noun
Western Lace Manufacturing Company	poss	yourfirm	01	Western Lace Manufacturing Company	refNoun
Western Lace Manufacturing Company	poss	ourcustomers	01	customers	noun
Wetherell's	poss	our skirt and cloak rooms	02	rooms	noun
day's	poss	day'stoil	21	toil	noun
day's	poss	theirday'swork	11	work	noun
days'	poss	three days'notice	11	notice	noun
her	poss	hertoilet's greasy task	21	task	noun
his	poss	hiswhistle	04	whistle	noun
his	poss	hislips	04	lips	noun
his	poss	hishat	04	hat	noun
his	poss	hisway	21	way	noun
hours'	poss	four hours'work	11	work	noun
its	poss	itsowner	06	owner	noun
its	poss	itsmerits	21	merits	noun
man's	poss	man'sshirt	21	shirt	noun
month's	poss	Three month'stime	01	time	noun
needle's	poss	needle'seye	05	eye	noun
nobody's	poss	nobody'sbusiness	21	business	noun
our	poss	our own city	14	city	noun
our	poss	our sweetest smiles	14	smiles	noun
son's	poss	son'soppression	14	oppression	noun
tailor's	poss	tailor'schalk	02	chalk	noun
their	poss	theirmothers'fault	06	fault	noun
their	poss	their heavy shears	03	shears	noun
their	poss	theireyes	01	eyes	noun
their	poss	theircomplexion	14	complexion	noun
their	poss	theirodors	14	odors	noun
their	poss	theirhearts	14	hearts	noun
their	poss	theirlives	14	lives	noun
their	poss	theirorigin	14	origin	noun
their	poss	theirnature	14	nature	noun
their	poss	theirsurroundings	14	surroundings	noun
their	poss	theirassociates	14	associates	noun
their	poss	theirbenevolence	14	benevolence	noun
their	poss	their shabby clothes	14	clothes	noun
their	poss	theirwrongs	14	wrongs	noun
their	poss	their own hands	14	hands	noun
their	poss	theirsills	11	sills	noun
toilet's	poss	hertoilet's greasy task	21	task	noun
week's	poss	week'spay	04	pay	noun
woman's	poss	woman'sheart	03	heart	noun
working-man's	poss	working-man'shome	21	home	noun
your	poss	yourfastidiousness	03	fastidiousness	noun
